question_id,engine,available,doc_recall,groundedness,relevance,retrieval,subqueries,latency_s
q1-single-spec,maf,True,1.0,5.0,5.0,5.0,2,8.2
q1-single-spec,foundry-iq,True,1.0,5.0,5.0,5.0,0,4.98
q2-cross-cnc-thermal,maf,True,1.0,5.0,5.0,5.0,3,8.8
q2-cross-cnc-thermal,foundry-iq,True,1.0,5.0,5.0,2.0,0,14.18
q3-cross-pump-fluid,maf,True,1.0,5.0,5.0,5.0,3,17.48
q3-cross-pump-fluid,foundry-iq,True,1.0,5.0,5.0,2.0,0,14.47
q4-cross-robot-collab,maf,True,1.0,5.0,5.0,5.0,4,17.08
q4-cross-robot-collab,foundry-iq,True,0.6666666666666666,5.0,5.0,,0,13.75
q5-cross-loto,maf,True,0.5,5.0,5.0,2.0,3,9.9
q5-cross-loto,foundry-iq,True,1.0,5.0,5.0,5.0,0,10.86
q6-figure-pump-efficiency,maf,True,1.0,5.0,5.0,5.0,3,7.0
q6-figure-pump-efficiency,foundry-iq,True,1.0,4.0,5.0,5.0,0,8.49
q7-figure-robot-zones,maf,True,1.0,5.0,5.0,5.0,2,7.13
q7-figure-robot-zones,foundry-iq,True,1.0,5.0,5.0,5.0,0,13.88
